Favorite_Subject,Math,Address,Hackathons / App development projects,English,Average_Score,Programming / coding clubs,Physics,Age_Group,Business,Chemistry,Building miniatures / models,Aptitude,ICT,Model building recognition,Other (please specify),Chosen_University,Debate / Public Speaking,Study_Country,Family_Lifestyle_Encoded,Bio,Personality_Trait,English_Proficiency,Programming / Coding award,IELTS_Score,DIY projects,Study_Habit,Parents_Education_Encoded,"Volunteering at hospitals, clinics, or NGOs",Gender,Career_Interest
6.0,95.0,48.0,0.0,76.0,86.2,0.0,0.0,1.0,88.0,89.0,0.0,3.0,83.0,0.0,0.0,80.0,1.0,6.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0
6.0,85.0,25.0,0.0,92.0,85.66666666666667,0.0,80.0,0.0,90.0,80.0,1.0,2.0,87.0,0.0,0.0,99.0,1.0,4.0,2.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
4.0,54.0,26.0,0.0,73.0,66.4,1.0,61.0,2.0,0.0,75.0,0.0,2.0,0.0,0.0,1.0,99.0,0.0,7.0,1.0,69.0,12.0,0.0,0.0,5.5,0.0,4.0,1.0,0.0,1.0,1
2.0,50.0,25.0,0.0,74.0,71.6,0.0,69.0,1.0,0.0,75.0,0.0,1.0,0.0,0.0,0.0,99.0,0.0,6.0,1.0,90.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
4.0,79.0,25.0,0.0,60.0,62.0,0.0,57.0,2.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,4.0,2.0,58.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
2.0,86.0,31.0,0.0,98.0,85.8,0.0,79.0,1.0,0.0,86.0,0.0,2.0,0.0,0.0,1.0,99.0,1.0,18.0,0.0,80.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1
4.0,96.0,36.0,1.0,63.0,87.0,1.0,91.0,2.0,0.0,93.0,0.0,3.0,92.0,0.0,0.0,99.0,0.0,1.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
4.0,97.0,25.0,0.0,90.0,86.5,0.0,84.0,1.0,80.0,86.0,1.0,3.0,82.0,0.0,0.0,71.0,1.0,6.0,1.0,0.0,14.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
2.0,64.0,24.0,0.0,42.0,51.5,0.0,57.0,1.0,0.0,43.0,0.0,1.0,0.0,0.0,1.0,88.0,1.0,23.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,82.0,48.0,0.0,78.0,79.91666666666667,0.0,78.0,1.0,0.0,80.0,0.0,3.0,80.0,0.0,0.0,31.0,0.0,6.0,2.0,81.5,12.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2
