Timestamp,Date_Of_Birth,Gender,Personality_Trait,Aptitude,Parents_Education,Family_Lifestyle,Address,Math,English,Bio,Chemistry,Physics,ICT,Business,if_HS_Student,Study_Method,Study_Habit,English_Proficiency,IELTS_Score,Favorite_Subject,Career_Interest,Extracurricular,Achievements,Study_Country,Chosen_University,Influence
2025/09/28 9:19:07 PM GMT+6:30,10/09/2006,Female,INFJ,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Yangon,95,76,0,89,0,83,88,yes,Self-study,3–4 hours,Advanced,0,Science,Business,"Debate / Public Speaking;Student Council / Leadership Roles;Volunteering at hospitals, clinics, or NGOs",Volunteering recognition,UK,"University of Glasgow, LSE, University of Manchester ",Personal interest / passion
2025/09/28 9:42:59 PM GMT+6:30,10/06/2011,Male,ESTP,7–8 → High aptitude,Graduate,Comfortable / Above average,Mandalay,85,92,0,80,80,87,90,yes,Self-study,1–2 hours,Intermediate,0,Science,Business,Debate / Public Speaking;Student Council / Leadership Roles;DIY projects;Building miniatures / models,Science fair / Olympiad prize,Singapore,,Personal interest / passion
2025/09/28 9:46:18 PM GMT+6:30,19/01/1997,Male,ISFJ,7–8 → High aptitude,Graduate,Moderate / Average,Mandalay ,54,73,69,75,61,0,0,no,Tuition / Extra Classes,More than 4 hours,Advanced,5.5,Math,IT,Programming / coding clubs,Other (please specify),UK;Canada,,Personal interest / passion
2025/09/28 9:46:45 PM GMT+6:30,28/09/2025,Female,ESFJ,4–6 → Medium aptitude,Graduate,Moderate / Average,Mandalay,50,74,90,75,69,0,0,no,Tuition / Extra Classes,2–3 hours,Intermediate,0,English,Medicine,Student Council / Leadership Roles,Volunteering recognition,UK,,Personal interest / passion
2025/09/28 9:52:39 PM GMT+6:30,29/08/1995,Female,ESFJ,0–3 → Low aptitude,Graduate,Comfortable / Above average,Mandalay,79,60,58,56,57,0,0,no,Tuition / Extra Classes,1–2 hours,Intermediate,0,Math,IT,DIY projects,DIY / Project recognition,Singapore,I'm not sure.,Personal interest / passion
2025/09/28 9:52:57 PM GMT+6:30,10/10/2008,Male,ENFJ,7–8 → High aptitude,Graduate,Limited / Basic,No.5 Basic Education High school Chan Aye Thar Zan Township Mandalay ,86,98,80,86,79,0,0,yes,Self-study,3–4 hours,Intermediate,0,English,IT,Debate / Public Speaking,Other (please specify),USA,,Personal interest / passion
2025/09/28 9:54:30 PM GMT+6:30,23/09/2004,Female,INFJ,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Pakokku,96,63,0,93,91,92,0,no,Self-study,1–2 hours,Intermediate,0,Math,IT,Programming / coding clubs;Hackathons / App development projects,Hackathon / App competition prize,Canada;Singapore,,Personal interest / passion
2025/09/28 10:01:50 PM GMT+6:30,15/07/2008,Female,ISTJ,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Mandalay,97,90,0,86,84,82,80,yes,Tuition / Extra Classes,1–2 hours,Intermediate,0,Math,Engineering,Debate / Public Speaking;Student Council / Leadership Roles;Science clubs;DIY projects;Building miniatures / models,Debate / Public Speaking awards,UK,UCL (university collage london),Personal interest / passion
2025/09/28 10:13:23 PM GMT+6:30,14/09/2025,Female,ENTJ,4–6 → Medium aptitude,Non-Graduate,Limited / Basic,Mandalar University ,64,42,0,43,57,0,0,no,Self-study,1–2 hours,Beginner,0,English,Business,Debate / Public Speaking,Other (please specify),USA;Singapore;Thailand,Want to attend ,Teachers / mentors
2025/09/28 10:24:24 PM GMT+6:30,15/02/2007,Female,ISFJ,9–10 → Exceptional aptitude,Graduate,Comfortable / Above average,Yangon,9,5,8,8,8,7,0,no,Self-study,3–4 hours,Intermediate,0,Science,Medicine,"Volunteering at hospitals, clinics, or NGOs",Volunteering recognition,UK,Manchester university,Teachers / mentors
2025/09/28 10:34:36 PM GMT+6:30,28/05/2008,Female,ENFP,7–8 → High aptitude,Graduate,Comfortable / Above average,Yangon,92,80,89,91,93,90,0,no,Self-study,2–3 hours,Advanced,0,English,Medicine,Student Council / Leadership Roles;Science clubs,Volunteering recognition,UK,,Previous academic performance / aptitude
