Timestamp,Gender,Date_Of_Birth,Age,Age_Group,Aptitude,Parents_Education_Encoded,Family_Lifestyle_Encoded,Math,English,Bio,Chemistry,Physics,ICT,Business,Average_Score,if_HS_Student,Study_Method,Study_Habit,English_Proficiency,IELTS_Score,Favorite_Subject,Career_Interest,Personality_Trait,Address,Study_Country,Chosen_University,Influence,Building miniatures / models,DIY projects,Debate / Public Speaking,Hackathons / App development projects,Programming / coding clubs,Science clubs,Student Council / Leadership Roles,"Volunteering at hospitals, clinics, or NGOs",DIY / Project recognition,Debate / Public Speaking awards,Hackathon / App competition prize,Model building recognition,Other (please specify),Programming / Coding award,Science fair / Olympiad prize,Student Council / Leadership role,Volunteering recognition
2025/09/28 9:19:07 PM GMT+6:30,Female,2006-09-10,19.0,15-to-20,9–10 → Exceptional aptitude,1,1.0,95.0,76.0,0.0,89.0,0.0,83.0,88.0,86.2,yes,Self-study,3–4 hours,Advanced,0.0,Science,0,INFJ,Yangon,UK,"University of Glasgow, LSE, University of Manchester ",Internal,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2025/09/28 9:42:59 PM GMT+6:30,Male,2011-06-10,14.0,10-to-15,7–8 → High aptitude,1,2.0,85.0,92.0,0.0,80.0,80.0,87.0,90.0,85.66666666666667,yes,Self-study,1–2 hours,Intermediate,0.0,Science,0,ESTP,Mandalay,Singapore,,Internal,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2025/09/28 9:46:18 PM GMT+6:30,Male,1997-01-19,28.0,20-to-30,7–8 → High aptitude,1,1.0,54.0,73.0,69.0,75.0,61.0,0.0,0.0,66.4,no,Tuition / Extra Classes,More than 4 hours,Advanced,5.5,Math,1,ISFJ,Mandalay ,UK;Canada,,Internal,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2025/09/28 9:46:45 PM GMT+6:30,Female,2025-09-28,17.0,15-to-20,4–6 → Medium aptitude,1,1.0,50.0,74.0,90.0,75.0,69.0,0.0,0.0,71.6,no,Tuition / Extra Classes,2–3 hours,Intermediate,0.0,English,2,ESFJ,Mandalay,UK,,Internal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2025/09/28 9:52:39 PM GMT+6:30,Female,1995-08-29,30.0,20-to-30,0–3 → Low aptitude,1,2.0,79.0,60.0,58.0,56.0,57.0,0.0,0.0,62.0,no,Tuition / Extra Classes,1–2 hours,Intermediate,0.0,Math,1,ESFJ,Mandalay,Singapore,I'm not sure.,Internal,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025/09/28 9:52:57 PM GMT+6:30,Male,2008-10-10,17.0,15-to-20,7–8 → High aptitude,1,0.0,86.0,98.0,80.0,86.0,79.0,0.0,0.0,85.8,yes,Self-study,3–4 hours,Intermediate,0.0,English,1,ENFJ,No.5 Basic Education High school Chan Aye Thar Zan Township Mandalay ,USA,,Internal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025/09/28 9:54:30 PM GMT+6:30,Female,2004-09-23,21.0,20-to-30,9–10 → Exceptional aptitude,1,1.0,96.0,63.0,0.0,93.0,91.0,92.0,0.0,87.0,no,Self-study,1–2 hours,Intermediate,0.0,Math,1,INFJ,Pakokku,Canada;Singapore,,Internal,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2025/09/28 10:01:50 PM GMT+6:30,Female,2008-07-15,17.0,15-to-20,9–10 → Exceptional aptitude,1,1.0,97.0,90.0,0.0,86.0,84.0,82.0,80.0,86.5,yes,Tuition / Extra Classes,1–2 hours,Intermediate,0.0,Math,3,ISTJ,Mandalay,UK,UCL (university collage london),Internal,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
2025/09/28 10:13:23 PM GMT+6:30,Female,2025-09-14,17.0,15-to-20,4–6 → Medium aptitude,0,0.0,64.0,42.0,0.0,43.0,57.0,0.0,0.0,51.5,no,Self-study,1–2 hours,Beginner,0.0,English,0,ENTJ,Mandalar University ,USA;Singapore;Thailand,Want to attend ,External,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025/09/28 10:24:24 PM GMT+6:30,Female,2007-02-15,18.0,15-to-20,9–10 → Exceptional aptitude,1,2.0,82.0,78.0,81.5,80.0,78.0,80.0,0.0,79.91666666666667,no,Self-study,3–4 hours,Intermediate,0.0,Science,2,ISFJ,Yangon,UK,Manchester university,External,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2025/09/28 10:34:36 PM GMT+6:30,Female,2008-05-28,17.0,15-to-20,7–8 → High aptitude,1,2.0,92.0,80.0,89.0,91.0,93.0,90.0,0.0,89.16666666666667,no,Self-study,2–3 hours,Advanced,0.0,English,2,ENFP,Yangon,UK,,Internal,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2025/09/28 10:37:41 PM GMT+6:30,Female,2005-08-07,20.0,15-to-20,4–6 → Medium aptitude,1,1.0,88.0,90.0,60.0,85.0,78.0,67.0,50.0,74.0,no,Tuition / Extra Classes,1–2 hours,Intermediate,0.0,English,2,ISFP,Yangon ,USA;Canada;Singapore,NUS ,Internal,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2025/09/28 10:41:27 PM GMT+6:30,Male,2006-06-15,19.0,15-to-20,7–8 → High aptitude,1,2.0,90.0,80.0,0.0,0.0,70.0,80.0,0.0,80.0,no,Group study,2–3 hours,Intermediate,5.5,ICT,1,INFP,Yangon,UK;USA;Canada;Singapore,,Internal,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2025/09/28 10:44:07 PM GMT+6:30,Male,2025-09-28,17.0,15-to-20,7–8 → High aptitude,0,1.0,68.0,63.0,94.0,88.0,82.0,0.0,0.0,79.0,no,Self-study,More than 4 hours,Intermediate,4.5,ICT,2,ISFJ,mandalay,USA,oxford,Internal,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2025/09/28 10:59:19 PM GMT+6:30,Female,2007-06-15,18.0,15-to-20,4–6 → Medium aptitude,0,2.0,56.0,54.0,55.0,41.0,40.0,50.0,50.0,49.42857142857143,no,Self-study,More than 4 hours,Beginner,0.0,Math,2,INFP,I have attended Tet Nay Lin,Thailand,,External,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025/09/28 11:04:51 PM GMT+6:30,Male,2009-09-22,16.0,15-to-20,7–8 → High aptitude,1,1.0,89.0,80.0,0.0,0.0,0.0,0.0,0.0,84.5,yes,Self-study,1–2 hours,Intermediate,7.0,Math,1,INFJ,private online school ,UK;Singapore;Thailand,haven't decide ,External,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2025/09/28 11:14:37 PM GMT+6:30,Female,2009-11-18,16.0,15-to-20,7–8 → High aptitude,1,2.0,86.0,82.0,76.0,85.0,78.0,84.0,0.0,81.83333333333333,yes,Tuition / Extra Classes,1–2 hours,Intermediate,0.0,Science,2,INFP,Mandalay,Singapore,,External,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025/09/28 11:56:07 PM GMT+6:30,Female,2007-09-23,18.0,15-to-20,4–6 → Medium aptitude,1,2.0,83.0,70.0,0.0,0.0,0.0,75.0,90.0,79.5,no,Self-study,3–4 hours,Intermediate,7.0,Math,0,ENFP,Yangon,Canada,Seneca College,Internal,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
